Class;Order;Family;Species;Species;;;Female;;;Male;;;Undetermined;;
;;;;Average weight (gr);SD (gr);n;Average weight (gr);SD (gr);n;Average weight (gr);SD (gr);n;Average weight (gr);SD (gr);n
Aves;Apodiformes;Trochilidae;Chlorostilbon olivaresi;4;0;2;4;0;1;4;0;1;;;
Aves;Apodiformes;Trochilidae;Chlorostilbon russatus;3;0;16;3;0;2;3;0;11;3;0;3
Aves;Apodiformes;Trochilidae;Chlorostilbon poortmani;3;0;13;3;0;4;3;0;4;3;0;5
Aves;Apodiformes;Trochilidae;Klais guimeti;3;0;5;3;0;1;2;0;3;2;0;1
Aves;Apodiformes;Trochilidae;Anthocephala floriceps;3;0;17;2;0;4;3;0;8;3;0;5
Aves;Apodiformes;Trochilidae;Anthocephala berlepschi;3;0;3;3;0;1;3;0;2;;;
Aves;Apodiformes;Trochilidae;Campylopterus largipennis;4;1;2;4;1;2;;;;;;
Aves;Apodiformes;Trochilidae;Campylopterus falcatus;7;1;20;6;0;12;8;1;8;;;
Aves;Apodiformes;Trochilidae;Campylopterus phainopeplus;6;1;2;6;1;2;;;;;;
Aves;Apodiformes;Trochilidae;Campylopterus villaviscensio;7;1;2;;;;7;1;2;;;
Aves;Apodiformes;Trochilidae;Chalybura buffonii;6;1;92;5;1;31;7;0;51;7;1;10
Aves;Apodiformes;Trochilidae;Chalybura urochrysia;7;0;14;6;0;6;7;0;7;7;0;1
Aves;Apodiformes;Trochilidae;Thalurania colombica;4;0;234;4;0;92;5;0;123;5;0;19
Aves;Apodiformes;Trochilidae;Thalurania furcata;4;1;30;4;1;9;5;1;17;4;0;4
Aves;Apodiformes;Trochilidae;Goldmania violiceps;4;0;6;3;0;4;4;0;2;;;
Aves;Apodiformes;Trochilidae;Phaeochroa cuvierii;8;1;3;;;;8;1;2;7;0;1
Aves;Apodiformes;Trochilidae;Taphrospilus hypostictus;9;0;1;;;;9;0;1;;;
Aves;Apodiformes;Trochilidae;Saucerottia castaneiventris;5;1;2;;;;4;0;1;6;0;1
Aves;Apodiformes;Trochilidae;Saucerottia saucerottei;4;0;162;4;1;15;4;1;28;4;0;119
Aves;Apodiformes;Trochilidae;Saucerottia cyanifrons;5;0;9;4;0;2;5;1;4;5;0;3
Aves;Apodiformes;Trochilidae;Saucerottia viridigaster;4;0;4;4;0;3;4;0;1;;;
Aves;Apodiformes;Trochilidae;Amazilia tzacatl;5;1;100;4;1;9;5;1;30;5;1;61
Aves;Apodiformes;Trochilidae;Uranomitra franciae;5;1;21;5;1;5;5;1;9;5;0;7
Aves;Apodiformes;Trochilidae;Chrysuronia versicolor;3;0;17;3;0;8;4;0;5;3;0;4
