"RecordType","Sex","Weight","ReferenceW","DifferenceW.RefW","Latitude","Logitude"
"Capture-release","Female",17.5,16.7,0.8,11.23527,-73.797807
"Capture-release","Female",15.1,16.7,-1.6,11.23527,-73.797807
"Capture-release","Female",17.4,16.7,0.7,11.23527,-73.797807
"Capture-release","Undetermined",13.7,16.7,-3,11.122652,-74.087351
"Capture-release","Female",15.5,16.7,-1.2,11.23527,-73.797807
"Capture-release","Female",16.5,16.7,-0.2,11.23527,-73.797807
"Capture-release","Male",18.1,16.7,1.4,11.122652,-74.087351
"Capture-release","Female",16,16.7,-0.7,11.122652,-74.087351
"Capture-release","Female",14.8,16.7,-1.9,11.23527,-73.797807
"Capture-release","Female",15.9,16.7,-0.8,11.122652,-74.087351
"Capture-release","Female",15,16.7,-1.7,11.23527,-73.797807
"Capture-release","Female",18.2,16.7,1.5,11.23527,-73.797807
"Capture-release","Male",16.8,16.7,0.1,11.23527,-73.797807
"Capture-release","Male",17.7,16.7,1,11.122652,-74.087351
"Capture-release","Female",15.3,16.7,-1.4,11.122652,-74.087351
"Capture-release","Undetermined",14.5,16.7,-2.2,11.122652,-74.087351
"Capture-release","Female",16.7,16.7,0,11.23527,-73.797807
"Capture-release","Female",15.6,16.7,-1.1,11.23527,-73.797807
"Capture-release","Male",16.7,16.7,0,11.23527,-73.797807
"Capture-release","Undetermined",15.3,16.7,-1.4,11.23527,-73.797807
"Capture-release","Undetermined",17.2,16.7,0.5,11.23527,-73.797807
"Capture-release","Undetermined",16.9,16.7,0.2,11.23527,-73.797807
"Capture-release","Undetermined",18,16.7,1.3,11.23527,-73.797807
"Capture-release","Undetermined",14.6,16.7,-2.1,11.23527,-73.797807
"Capture-release","Undetermined",16.4,16.7,-0.3,11.23527,-73.797807
"Capture-release","Undetermined",15.8,16.7,-0.9,11.23527,-73.797807
"Capture-release","Undetermined",14.2,16.7,-2.5,11.23527,-73.797807
"Capture-release","Undetermined",16.1,16.7,-0.6,11.122652,-74.087351
"Capture-release","Undetermined",17,16.7,0.3,11.23527,-73.797807
"Capture-release","Undetermined",19,16.7,2.3,11.23527,-73.797807
"Capture-release","Male",17.8,16.7,1.1,11.23527,-73.797807
"Capture-release","Female",16.5,16.7,-0.2,11.23527,-73.797807
"Capture-release","Male",17.1,16.7,0.4,11.23527,-73.797807
"Capture-release","Female",14.8,16.7,-1.9,11.23527,-73.797807
"Capture-release","Undetermined",17.6,16.7,0.9,11.23527,-73.797807
"Capture-release","Undetermined",16.8,16.7,0.1,11.23527,-73.797807
"Capture-release","Undetermined",15.5,16.7,-1.2,11.23527,-73.797807
"Capture-release","Undetermined",16.1,16.7,-0.6,11.23527,-73.797807
"Capture-release","Male",18.1,16.7,1.4,11.23527,-73.797807
"Capture-release","Undetermined",16,16.7,-0.7,11.23527,-73.797807
"Capture-release","Male",19,16.7,2.3,11.23527,-73.797807
"Capture-release","Undetermined",15.5,16.7,-1.2,11.23527,-73.797807
"Capture-release","Undetermined",15.9,16.7,-0.8,11.23527,-73.797807
"Capture-release","Undetermined",17.5,16.7,0.8,11.23527,-73.797807
"Capture-release","Undetermined",16.6,16.7,-0.1,11.122652,-74.087351
"Capture-release","Undetermined",16,16.7,-0.7,11.122652,-74.087351
"Capture-release","Female",16.8,16.7,0.1,11.122652,-74.087351
"Capture-release","Undetermined",18.2,16.7,1.5,11.122652,-74.087351
"Capture-release","Undetermined",16.6,16.7,-0.1,11.122652,-74.087351
"Capture-release","Female",14.6,16.7,-2.1,11.122652,-74.087351
"Capture-release","Undetermined",17,16.7,0.3,11.23527,-73.797807
"Capture-release","Undetermined",15.9,16.7,-0.8,11.23527,-73.797807
"Capture-release","Female",16.8,16.7,0.1,11.23527,-73.797807
"Capture-release","Female",17.9,16.7,1.2,11.23527,-73.797807
"Capture-release","Undetermined",17.9,16.7,1.2,11.23527,-73.797807
"Capture-release","Female",15.2,16.7,-1.5,11.23527,-73.797807
"Capture-release","Male",17.6,16.7,0.9,11.122652,-74.087351
"Capture-release","Female",15,16.7,-1.7,11.23527,-73.797807
"Capture-release","Female",16.4,16.7,-0.3,11.23527,-73.797807
"Capture-release","Female",16.9,16.7,0.2,11.122652,-74.087351
"Capture-release","Female",17.3,16.7,0.6,11.23527,-73.797807
"Capture-release","Male",17.3,16.7,0.6,11.23527,-73.797807
"Capture-release","Undetermined",15.7,16.7,-1,11.23527,-73.797807
"Capture-release","Undetermined",14.7,16.7,-2,11.23527,-73.797807
"Capture-release","Female",14.4,16.7,-2.3,11.122652,-74.087351
